intent,button,entities
affirm,Yes,
deny,No,
faq/corona_virus, Virus corona là gì,
faq/COVID_19, COVID-19 là gì?,
faq/symtoms_of_COVID_19, Triệu chứng của COVID-19 là gì?,
faq/thing_to_do_when_have_symtoms, Tôi nên làm gì nếu tôi có các triệu chứng COVID-19?,
faq/COVID_19_spread, COVID-19 lây lan như thế nào?,
faq/save_health_when_dont_know_who_got_sick,Làm thế nào chúng ta có thể bảo vệ người khác và chính mình nếu chúng ta không biết ai bị nhiễm bệnh?,
faq/thing_to_do_when_contacted_with_disease,Phải làm sao nếu tôi đã tiếp xúc với người bệnh?,
faq/self_isolate,Tự cô lập nghĩa là gì?,
faq/self_quarantine,Tự cách ly là gì?,
faq/compare_self_isolate_self_quarantine_distancing,Tự cô lập và tự cách ly khác gì nhau ?,
faq/children_and_adolescent,Trẻ em và vị thành niên có thể bị nhiễm bệnh hay không?,
faq/protect_and_prevent,Tôi cần làm gì để bảo vệ và ngăn ngừa COVID-19?,
faq/vaccine_drug_treatment,Đã có vắc-xin phòng ngừa COVID-19 chưa ?,
faq/time_to_show_symtoms,Nếu tôi bị nhiễm thì sau bao lâu mới có triệu chứng?,
faq/connection_COVID_and_animals,Giữa động vật và COVID-19 có liên hệ gì không?,
faq/catch_COVID_19_from_animals,Liệu thú cưng tôi có thể lây bệnh cho tôi không?,
faq/virus_survive_on_surfaces,Virus corona có thể tồn tại trên các vật thể trong bao lâu?,
faq/safety_when_shopping, Các cửa hàng là nơi qua lại tiếp xúc với nhiều người làm sao để tránh khỏi mầm bệnh?,
faq/wash_fruit_and_vegetables,Cách rửa trái cây rau quả an toàn,
faq/antibiotic_effectiveness,Kháng sinh có tác dụng gì với COVID-19 không?,
faq/faeces_from_disease, Phân của người bệnh có thể lây bệnh không?,
ask_death, bao người chết rồi?,
ask_confirm, bao người nhiễm rồi?,
ask_resolve, bao người khỏi bệnh rồi?,
ask_all, xem chi tiết dịch bệnh,
out_of_scope, Khác những câu hỏi trên.,
